ID,avg_responsefriend_approached,avg_responsestranger_approached,avg_responsefriend_approaching,avg_responsestranger_approaching,gender,age,UCLA,COVID_LONELINESS,loneliness_L1_H2,covid_loneliness_1L_2H,ucla_1_REV,ucla_2,ucla_3,ucla_4,ucla_5_REV,ucla_6_REV,ucla_7,ucla_8,ucla_9_REV,ucla_10_REV,ucla_11,ucla_12,ucla_13,ucla_14,ucla_15_REV,ucla_16_REV,ucla_17,ucla_18,ucla_19_REV,ucla_20_REV,Zavg_responsefriend1,Zavg_responsestranger1,Zavg_responsefriend2,Zavg_responsestranger2,response_avg_z
52,3.64,3.02,3.58,2.98,1,39,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,0.648876983,0.879367269,0.681030999,0.904019995,0.778323811
53,3.52,3.18,3.34,2.98,1,37,39,4,1,2,2,3,2,2,2,2,2,3,1,1,2,2,2,2,1,2,2,4,1,1,0.465882367,1.068586518,0.343102696,0.901989557,0.694890284
54,3.62,1.94,3.29,1.52,1,35,36,4,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,3,1,1,3,2,1,1,0.613674591,-0.331911933,0.274273566,-0.722872397,-0.041709043
55,3.63,2.56,3.67,3.15,1,40,32,4,1,2,3,2,1,2,1,1,1,2,1,1,1,2,2,1,1,4,2,2,1,1,0.628580326,0.365987235,0.806889626,1.096701545,0.724539683
56,3.65,3.18,3.66,3.14,1,34,25,3,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,2,1,1,1,0.655896101,1.064930454,0.7929661,1.084768933,0.899640397
57,3.67,3.64,3.70,3.14,1,33,37,3,1,1,2,2,2,2,1,2,2,3,2,2,2,2,2,2,1,2,2,2,1,1,0.688203266,1.581682559,0.848938263,1.085538514,1.05109065
58,3.64,2.81,3.63,3.12,2,34,35,4,1,2,2,2,1,2,2,2,2,3,2,1,2,1,2,2,1,1,3,2,1,1,0.639857428,0.646031026,0.753247021,1.062853826,0.775497325
59,3.41,2.60,3.46,2.94,2,35,34,2,1,1,2,1,1,2,1,2,1,1,2,2,2,2,2,3,1,2,3,2,1,1,0.293940082,0.408041975,0.507829038,0.856786287,0.516649346
60,3.38,2.85,3.15,2.72,1,37,40,3,1,1,2,3,2,3,2,2,1,3,2,1,3,2,2,2,1,1,4,2,1,1,0.255936951,0.692423942,0.078046596,0.616691241,0.410774683
61,3.21,1.54,3.62,1.97,2,36,31,4,1,2,2,1,1,1,1,2,2,2,2,1,2,1,2,1,1,2,4,1,1,1,0.007756498,-0.78174735,0.741363846,-0.218861668,-0.062872169
62,3.55,3.09,3.53,3.12,2,36,33,4,1,2,1,2,2,1,1,3,1,3,1,1,3,2,2,1,1,1,1,3,2,1,0.509334446,0.962578458,0.610662657,1.063212454,0.786447004
63,3.27,3.64,3.59,3.57,2,32,37,4,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,3,2,2,2,0.091973867,1.581682559,0.69475993,1.565548818,0.983491293
64,3.40,0.86,3.14,1.32,2,35,38,4,1,2,2,3,2,2,2,2,2,1,2,2,2,1,1,2,1,2,3,2,2,2,0.280577068,-1.552234418,0.065619522,-0.94558894,-0.537906692
65,3.40,1.62,3.51,1.16,2,32,31,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,4,2,1,0.286099679,-0.689306057,0.577649043,-1.121138689,-0.236674006
66,3.59,3.37,3.67,3.52,1,36,38,3,1,1,2,2,1,2,2,3,1,3,3,2,2,1,3,2,1,2,2,2,1,1,0.568957386,1.277758728,0.806889626,1.509733667,1.040834852
67,3.69,2.81,3.66,2.28,2,36,29,4,1,2,1,1,1,1,1,1,2,2,1,1,2,2,1,2,1,2,2,3,1,1,0.718014736,0.647398189,0.792873414,0.125517907,0.570951062
68,3.62,2.40,3.67,2.54,1,39,39,4,1,2,2,2,2,2,2,2,2,3,2,2,2,1,2,2,2,2,2,2,2,1,0.606712518,0.187108923,0.810001214,0.418290642,0.505528324
69,3.33,0.72,1.53,0.99,2,37,20,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.181408277,-1.705197391,-2.192579766,-1.314513004,-1.257720471
70,3.56,2.43,3.59,2.70,2,30,35,4,1,2,1,3,1,3,2,1,1,2,1,1,3,2,2,2,2,1,3,2,1,1,0.524240181,0.219653538,0.69475993,0.59436518,0.508254707
71,3.23,2.50,3.20,2.35,1,34,20,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.035698994,0.301412532,0.142192485,0.20220292,0.170376733
72,2.36,0.92,1.32,0.75,2,37,33,4,1,2,2,2,1,2,2,1,1,3,2,1,2,1,1,2,1,2,2,3,1,1,-1.264448016,-1.480068628,-2.486920221,-1.582425732,-1.703465649
73,3.50,3.16,3.42,3.05,2,28,31,2,1,1,1,2,1,1,2,3,1,1,1,1,3,2,1,2,1,1,3,2,1,1,0.437296632,1.043030834,0.453362257,0.982461879,0.729037901
